"Gene","ModuleColor","kME_blue","p.kME_blue","GS_Activation_Status.Activated","PValue"
"PNISR","blue",0.789903508644704,1.36462006888221e-09,-0.944325968328786,6.120318589089e-20
"H3-3B","blue",0.848905602609619,4.50105399050702e-12,-0.35660075662705,0.0239049882680567
"TRIM47","blue",-0.922155174447548,2.93658160603394e-17,0.869169018550066,3.51124879067512e-13
"KDM6B","blue",0.863128298835193,7.83508931882408e-13,-0.851087207216288,3.483320219315e-12
"MUTYH","blue",0.818761251976853,1.07981765404592e-10,-0.488960199883433,0.0013667470285699
"ZSWIM3","blue",-0.959385044229651,1.7441110888189e-22,0.601439739862229,4.05145473355077e-05
"RBM38","blue",0.779084030331289,3.19797664739619e-09,-0.286084132091805,0.0735194009105534
"OSER1","blue",0.955336930664169,1.02384662085171e-21,-0.601957418430826,3.97395364385601e-05
"PATJ","blue",0.904385743483204,1.24659517942539e-15,-0.917149940921095,9.17809126793454e-17
"USPL1","blue",0.906230677916273,8.75200411165636e-16,-0.784860914800125,2.04180279963507e-09
"MYH10","blue",0.823003766879169,7.16202191571157e-11,-0.423519288386713,0.00646704111234984
"CNDP2","blue",-0.83211903184781,2.85398261570946e-11,0.908543918677389,5.55850180747993e-16
"WDR74","blue",0.903299969370039,1.52997848752775e-15,-0.503855115338967,0.000917719505214101
"MED10","blue",0.749431297063772,2.63630581804783e-08,-0.229343771647361,0.154574634828068
"GIMAP4","blue",-0.843454152986777,8.39518731836053e-12,0.382355057132959,0.0148974897122404
"BTG1","blue",0.958192290696993,2.99156268015136e-22,-0.80437439575828,4.02980812475833e-10
"TMEM254","blue",-0.867981463568856,4.12415730664279e-13,0.698859613925058,5.29253095104475e-07
"CCDC59","blue",0.792954873703728,1.06364208254566e-09,-0.347492514628937,0.0280191568864552
"SBF2","blue",0.716571321168181,1.99146743521537e-07,-0.710948699908663,2.73722636795429e-07
"ZFC3H1","blue",0.750642912381023,2.4325811601114e-08,-0.764259070835088,9.53829183592181e-09
"MEN1","blue",-0.881545778877028,5.94463183516421e-14,0.609476296152298,2.99038588410313e-05
"MED6","blue",0.870409586339717,2.9630546849247e-13,-0.444983590023735,0.00401393988771791
"ELP3","blue",-0.912982468749062,2.24710229690771e-16,0.84671946851165,5.7960382708152e-12
"IER3IP1","blue",-0.904593369224936,1.19837710308013e-15,0.872090567094942,2.34764158776454e-13
