"Gene","ModuleColor","kME_turquoise","p.kME_turquoise","GS_Activation_Status.Activated","PValue"
"ZNF154","turquoise",-0.921766972345097,3.9034595975914e-07,-0.869561916446224,1.21181978317533e-05
"DCTPP1","turquoise",0.980761999646801,2.48564837501689e-11,0.920215275440019,4.45995139275399e-07
"SOCS4","turquoise",0.906295543129009,1.3236499974301e-06,0.960002042878796,3.95032332214433e-09
"RCC1","turquoise",0.991965596594098,5.67333584394107e-14,0.942364742427666,4.86044984066217e-08
"CCDC43","turquoise",0.938906754021634,7.24057023677373e-08,0.83303763818692,6.16126482845741e-05
"HCLS1","turquoise",0.858608492316611,2.06712220193226e-05,0.884490235804185,5.39308148380126e-06
"PAK2","turquoise",0.860740193478171,1.86963957573151e-05,0.886506207259169,4.79423670518437e-06
"MIGA1","turquoise",-0.827784840888217,7.54079043616427e-05,-0.894596793843665,2.92103984636036e-06
"NRIP1","turquoise",-0.97272697200225,2.80031622600027e-10,-0.89639332951981,2.60262909874457e-06
"BHLHA15","turquoise",-0.908632520656473,1.11624550817022e-06,-0.793283975952898,0.000245467778430605
"SRP9P1","turquoise",0.977432969356327,7.53032580025554e-11,0.927874723191614,2.24652178110541e-07
"TMEM64","turquoise",0.902269072504518,1.75752810062269e-06,0.751775342147284,0.000783915015068796
"GPR157","turquoise",-0.849736733508793,3.08768675367144e-05,-0.84707048005903,3.46630962621064e-05
"PPA1","turquoise",0.981377716897847,1.98270447028104e-11,0.880981290615082,6.58590675981237e-06
"SCRIB","turquoise",0.945879897915541,3.15840908737138e-08,0.803824762333408,0.000175367272409778
"PITPNB","turquoise",0.97748793908062,7.40393953598422e-11,0.984437873710739,5.68882889338661e-12
"MRPL14","turquoise",0.961446185801126,3.0655766614159e-09,0.990640864279362,1.64549945029079e-13
"SLC26A11","turquoise",-0.959553647182131,4.26583399245614e-09,-0.991659792067105,7.36294282169099e-14
"HIGD1A","turquoise",0.98049733494895,2.73321524323212e-11,0.915264310093596,6.70686799523684e-07
"DHTKD1","turquoise",0.953951529163887,1.04197041321304e-08,0.912201441727994,8.52805636409647e-07
"H2AC25","turquoise",0.915138664052957,6.77447963831367e-07,0.944024998367922,3.97882197562069e-08
"FRAT2","turquoise",-0.983961918798472,7.01554004732001e-12,-0.940869420914513,5.79159395135061e-08
"NME9","turquoise",-0.749711282737121,0.000825719088422479,-0.734270069331384,0.00120010391656876
"DDX60L","turquoise",-0.891909193669198,3.45844860424344e-06,-0.717052774636005,0.001770333154156
"UTS2R","turquoise",-0.735156130165316,0.00117542172773583,-0.708496952190712,0.00212625509653608
"FANCB","turquoise",0.943696122243996,4.14171563049601e-08,0.861559168943369,1.79810582828347e-05
"MRPS23","turquoise",0.894464631613054,2.9457075910394e-06,0.784985536383635,0.000315735259179129
"PLAG1","turquoise",-0.754958766279529,0.000722855244398211,-0.759034813864808,0.00065042875393654
"YIPF6","turquoise",0.796031301066348,0.000225284199697162,0.666192024892784,0.00483698397333263
"ZBTB20","turquoise",-0.988160014087727,8.47745472134987e-13,-0.965005426441706,1.57095652414155e-09
"MACIR","turquoise",0.963571006092417,2.07314833389393e-09,0.939772399807951,6.56751033408789e-08
"COPG1","turquoise",0.977691788213127,6.95094568993704e-11,0.964244991908502,1.822375939823e-09
"LSM10","turquoise",0.752422940004941,0.000771162861058757,0.640422362991397,0.00752711168984322
"ADO","turquoise",0.929896948297482,1.85109938348917e-07,0.832238639577137,6.35634380390846e-05
"PRKAG1","turquoise",0.97180445290545,3.52593006443335e-10,0.95549562605818,8.24063522776835e-09
"GINS3","turquoise",0.990248253441456,2.19166943724791e-13,0.97051450612151,4.80596976018787e-10
"MRPS11","turquoise",0.909378636599666,1.05612455016535e-06,0.867625841505904,1.33628820186528e-05
"SNRPE","turquoise",0.959112114635521,4.59726163903553e-09,0.838974501754532,4.86232786789771e-05
