"Gene","ModuleColor","kME_brown","p.kME_brown","GS_Activation_Status.Activated","PValue"
"EPS15","brown",0.93926833282009,5.87289358412378e-06,0.860745260162526,0.000324897798502395
"CHERP","brown",0.955187082683315,1.31992831996726e-06,0.603582929294619,0.0377033534724682
"ATG16L1","brown",-0.949793361439909,2.30868189387703e-06,-0.542412026067602,0.068452503641425
"RBM22","brown",0.855170261101644,0.000391490549499038,0.734763052820748,0.00648845865704513
"ACOX3","brown",0.984498270531789,6.86906394285763e-09,0.663502251133279,0.0186532882118855
"UIMC1","brown",0.92592930214115,1.54917199164695e-05,0.476318897511857,0.117476131226246
"CETP","brown",-0.831178199430631,0.000807450009768481,-0.556886719890101,0.060001345090107
"OGFOD1","brown",0.916984721664378,2.69764277515282e-05,0.458856367728607,0.133495847009648
"NOP14","brown",0.948276229209951,2.67232602292632e-06,0.527504947560163,0.0779784884334185
"RTRAF","brown",0.970077696326958,1.79656504887101e-07,0.8817949950634,0.000148556806731428
"SF3B2","brown",0.973540220854931,9.77084936277059e-08,0.886347477079361,0.000123042485526655
"SULT2B1","brown",-0.911328482517472,3.7143524362878e-05,-0.503763896254943,0.0949531759678446
"PTPN4","brown",-0.972374771516155,1.20970169091834e-07,-0.59724302434248,0.0403129824490154
"GNA11","brown",0.933949072124024,8.85575433023067e-06,0.515349613509012,0.0863866388156313
"PDRG1","brown",0.89798547038955,7.3156418879412e-05,0.515226746368182,0.0864746325448383
"DOCK9","brown",-0.962668067426883,5.36336597361828e-07,-0.909044904174895,4.20132621598301e-05
"COQ9","brown",0.970835421404678,1.58234448198721e-07,0.765326649725551,0.00372138463829731
"KIF9","brown",0.795204510648342,0.00198867186329425,0.411352587130514,0.184008107708519
"MAVS","brown",-0.974032629285618,8.90227776817537e-08,-0.837331773871115,0.000678013041190974
"XRN2","brown",0.975612775285113,6.52120662345458e-08,0.874346135262758,0.000199039821066756
"ESF1","brown",0.922549510498751,1.92517186774565e-05,0.470726356880675,0.122461073073502
"ANAPC5","brown",0.889272455037938,0.000108554829991615,0.530459240262994,0.0760227277611062
"TMEM230","brown",0.97191216863457,1.31341360309118e-07,0.755857954855824,0.00445725457108151
"GCN1","brown",0.97114651347395,1.50051966562254e-07,0.595567747379885,0.0410234477046779
"RPLP0","brown",0.983259382569083,1.00682009900832e-08,0.638364272772917,0.0254849119895347
"PEBP1","brown",0.930522675754175,1.13370686298137e-05,0.487738360139382,0.107716897536661
"MLF2","brown",0.967331570235302,2.77394253305712e-07,0.8953376072141,8.27753252038194e-05
"ZBTB25","brown",-0.961096113631776,6.57423854255243e-07,-0.907212378445921,4.62729455558742e-05
"NECAP1","brown",-0.978782224081205,3.26835751369349e-08,-0.793585344768203,0.00206249778646762
"DHX32","brown",0.978228439096786,3.71427408969149e-08,0.840625901137108,0.000615675442896873
"GPATCH2L","brown",-0.952263037443587,1.80158097478639e-06,-0.870043143312581,0.000233767345771015
"BLVRB","brown",0.979144194300029,3.00074604007587e-08,0.827039867508635,0.000904692802506236
"YPEL3","brown",-0.988165665568285,1.79219151216215e-09,-0.849537372701511,0.000469091532605707
"NUDC","brown",0.991331970620977,3.79811340593024e-10,0.831874562115656,0.000791914724113524
"MAEA","brown",-0.955741604152816,1.24142615590505e-06,-0.883386154616237,0.000139209573378784
"USP48","brown",0.9373252519801,6.85170890937587e-06,0.543842359171007,0.0675828895945205
"PDPR","brown",-0.972053818122713,1.28093326606568e-07,-0.887121313117078,0.000119070630883315
"AARS1","brown",0.983515533123482,9.32514593529299e-09,0.867454590027483,0.000256826467684786
"GLG1","brown",-0.963362820027009,4.88827139131202e-07,-0.57186032764635,0.0520519907837296
"EXOC1","brown",-0.851953835846371,0.000434464024897915,-0.398374998530224,0.199614484836636
"RBM27","brown",0.913108461946916,3.3665307299671e-05,0.506559231766615,0.0928361688901884
"NLRP1","brown",-0.987432433800577,2.41761936703791e-09,-0.857132722642299,0.000366942942223997
"ZC3HC1","brown",0.975991838946198,6.03375212300876e-08,0.803348265651215,0.00164750555537189
"ESR1","brown",-0.985071198244109,5.69558924789024e-09,-0.818424345448297,0.00113599431424797
"ANGPT2","brown",-0.911494112412697,3.68084278280983e-05,-0.80962185561826,0.00141684261787445
"CD200","brown",0.968168675725215,2.43973768333962e-07,0.89766697272869,7.42645527570338e-05
"HNRNPC","brown",0.995773515935154,1.05459339168443e-11,0.819751130706184,0.00109769451311784
"SUPT16H","brown",0.969061007663886,2.1196010148782e-07,0.898628017175671,7.09603448684334e-05
"ADA2","brown",-0.986616608853941,3.30650685734934e-09,-0.657043689068622,0.0202621315685172
"ECHDC1","brown",0.969912149105115,1.84630075067408e-07,0.779197107827369,0.00281442427099209
"AAAS","brown",0.976221740680631,5.75256077981627e-08,0.845556870965474,0.000530762315304482
"CBX5","brown",0.965853897440747,3.45206147869474e-07,0.904251328838254,5.38664068198675e-05
"MSH2","brown",0.970206918449936,1.75848857532801e-07,0.88929766863816,0.000108436048081088
"MAP3K1","brown",-0.973222622573255,1.03659523060816e-07,-0.887591942684195,0.000116704594342297
"ARCN1","brown",0.99384699167746,6.87431062246627e-11,0.828535275584523,0.000868565664810777
"PSMD5","brown",0.957735284230306,9.89235085645369e-07,0.901985120474361,6.03130677818565e-05
"SORBS1","brown",0.812571543843284,0.00131738450144082,0.408611741801555,0.187238835937142
